id;qty;remaining;cost_price;sell_price;purchase_date;expiry_date;supplier;invoice_no;sku_id;store_id
1;10951;15799;14265.69;10875.65;2026-05-02T02:03:50;2026-05-02T08:16:48;from nor;gentle fort fundraising;1;1
2;19658;2981;30869.16;30966.47;2026-05-01T15:13:48;2026-05-02T04:58:58;imaginative;fussy exhausted;2;2
3;1260;30004;32729.02;13944.88;2026-05-01T22:10:02;2026-05-02T01:39:20;trial out;knavishly;3;3
4;22310;10391;21678.81;21882.34;2026-05-01T15:19:50;2026-05-02T02:17:29;fooey highly;lest;4;4
5;23764;23766;17826.12;11034.57;2026-05-01T21:40:15;2026-05-02T10:09:09;zowie;kookily;5;5
6;6453;11715;11011.79;7981.39;2026-05-01T10:50:27;2026-05-02T07:00:27;though;ferret;6;6
7;27904;30853;21047.06;7353.76;2026-05-01T20:07:33;2026-05-01T12:14:12;red responsibility;adventurously;7;7
8;7505;567;30191.23;19037.09;2026-05-01T10:41:08;2026-05-02T09:25:15;inasmuch usefully happy-go-lucky;icebreaker;8;8
9;8603;13847;11748.72;25302.7;2026-05-02T02:48:20;2026-05-01T22:08:17;why dearest er;antagonize fun;9;9
10;17960;15686;4076.41;984.76;2026-05-02T04:21:46;2026-05-02T02:09:48;until before unit;whereas yum an;10;10
11;9243;31733;8548.08;23055.68;2026-05-01T21:09:20;2026-05-01T19:17:59;coincide;uh-huh regarding;11;11
12;26347;1207;4827.34;15482.38;2026-05-01T20:52:13;2026-05-02T01:30:30;consequently fooey;lest;12;12
13;22666;3997;27390.08;6572.48;2026-05-01T14:21:17;2026-05-02T05:58:36;recede;hot except;13;13
14;21870;2776;7829.51;16516.64;2026-05-01T18:41:49;2026-05-02T02:55:45;er;liquid;14;14
15;23492;16385;3226.5;15482.42;2026-05-01T10:32:44;2026-05-02T04:40:24;ah;where yak raw;15;15
16;16847;16337;18262.96;23932.66;2026-05-01T11:19:22;2026-05-02T02:49:46;minor outfox;singing gosh to;16;16
17;30139;2664;1540.73;22098.01;2026-05-01T19:55:24;2026-05-02T03:05:48;geez kiddingly aware;declaration;17;17
18;23010;14554;28424.05;16896.44;2026-05-02T06:13:44;2026-05-01T16:48:37;verbally;meanwhile gallery;18;18
19;22447;28549;23557.29;29786.61;2026-05-01T20:19:36;2026-05-01T22:54:24;against after stormy;yippee;19;19
20;4346;28528;23358.13;27224.53;2026-05-02T05:04:20;2026-05-01T18:37:15;extremely whether reckless;though extremely;20;20
21;21713;28646;7261.06;9934.33;2026-05-01T23:36:15;2026-05-02T03:30:04;harp until;from shabby;21;21
22;32380;5670;21759.1;17048.18;2026-05-01T15:05:46;2026-05-01T17:11:54;afore aw;noteworthy knowledgeably mysteriously;22;22
23;3985;15543;10983.63;28899.96;2026-05-01T16:59:06;2026-05-01T20:37:31;lest;barring nor unless;23;23
24;22949;28297;9971.3;22648.58;2026-05-02T08:48:53;2026-05-02T08:11:25;drat;puzzled hopeful hm;24;24
25;26852;12241;17419.33;8140.75;2026-05-01T12:18:42;2026-05-02T09:59:19;damaged;elderly;25;25
26;4113;17882;22504.1;29372.04;2026-05-01T12:43:45;2026-05-02T01:56:18;gee;than;26;26
27;11549;17471;32421.37;32278.67;2026-05-01T22:28:32;2026-05-01T11:29:24;up;dramatic;27;27
28;23208;6031;7958.79;25066.32;2026-05-01T23:31:50;2026-05-02T02:02:15;yowza cop;sneak now;28;28
29;3463;30487;29849.14;2340.54;2026-05-01T15:30:54;2026-05-02T09:57:33;furthermore finally;aha;29;29
30;11571;9310;24670.4;31198.42;2026-05-02T00:14:53;2026-05-01T17:46:48;ideal before via;goodwill angle;30;30
