id;bill_no;date;total;gst;payment;store_id
1;castanet;2026-05-01T13:41:57;3810.8;10427.14;UPI;1
2;defrag amidst boo;2026-05-01T12:15:47;27757.6;12761.79;CASH;2
3;fraudster eek and;2026-05-01T10:51:01;27461.23;15644.76;CARD;3
4;lovely at;2026-05-01T19:28:28;26259.33;17666.77;UPI;4
5;delightfully zowie industrialize;2026-05-02T09:18:11;12102.82;10772.93;UPI;5
6;positively even well;2026-05-02T03:39:26;31767.31;4832.47;CASH;6
7;mysteriously;2026-05-02T07:47:48;28320.22;2327.29;CARD;7
8;ha sedately;2026-05-02T05:30:29;28859.98;8064.63;CARD;8
9;jut conjecture;2026-05-02T09:48:46;23988.62;29761.5;CARD;9
10;loosely;2026-05-02T09:49:39;3364.17;32608.47;CARD;10
11;aboard;2026-05-01T17:27:43;23592;24932.48;CASH;11
12;during a markup;2026-05-01T13:41:21;23980.36;12137.18;CARD;12
13;consequently cool consequently;2026-05-01T11:37:34;26269.62;24321.19;CARD;13
14;narrate as underneath;2026-05-01T11:06:25;11865.44;17157.32;CARD;14
15;aboard corral ew;2026-05-02T04:49:50;27799.48;25923.08;CASH;15
16;vet;2026-05-02T03:10:24;6618.56;24467.82;CASH;16
17;boohoo throughout greedy;2026-05-01T10:54:38;3148.03;28385.35;CASH;17
18;circular navigate wallaby;2026-05-01T20:59:49;5202.51;12239.96;CARD;18
19;zowie;2026-05-01T19:07:27;4190.43;10677.03;CARD;19
20;about fooey;2026-05-01T12:30:47;10664.96;15764.45;UPI;20
21;worth;2026-05-01T17:12:20;15264.14;19170.26;CASH;21
22;boohoo millet celebrate;2026-05-02T09:42:44;6785.56;15614.71;CARD;22
23;why;2026-05-02T09:23:02;12068.55;17291.35;CASH;23
24;upright;2026-05-02T01:26:20;12929.62;1383.54;CASH;24
25;major via demobilise;2026-05-01T15:35:38;11576.59;10278.9;CARD;25
26;embarrassment from;2026-05-02T05:43:34;26474.27;6824.83;CARD;26
27;ew where;2026-05-01T13:37:01;4353.99;17101.98;CARD;27
28;round imaginative wrongly;2026-05-01T15:58:37;12336.07;31804.43;UPI;28
29;ew;2026-05-02T03:00:54;11005.48;15499.54;CARD;29
30;sometimes topsail;2026-05-02T00:11:37;17849.13;11709.63;UPI;30
