id;qty;price;sale_id;sku_id
1;11645;28556.98;1;1
2;11103;25952.05;2;2
3;8530;20033.67;3;3
4;30929;27779.54;4;4
5;20788;1743.6;5;5
6;32290;29383.17;6;6
7;14692;27573.29;7;7
8;25319;24609.73;8;8
9;23490;23205.01;9;9
10;23305;23577.5;10;10
11;23821;8065.88;11;11
12;6896;26834.91;12;12
13;19372;27664.05;13;13
14;18240;27158.95;14;14
15;1670;9340.8;15;15
16;27655;6031.94;16;16
17;12261;14982.04;17;17
18;31647;12841.45;18;18
19;26459;2781.55;19;19
20;25871;818.36;20;20
21;12498;30366.26;21;21
22;9876;7878.23;22;22
23;4195;8289.09;23;23
24;13235;4434.03;24;24
25;12387;11883.71;25;25
26;4705;32042.57;26;26
27;15073;23412.81;27;27
28;5480;17836.78;28;28
29;5875;12250.89;29;29
30;20157;19177.59;30;30
