id;code;name;category;hsn;gst;unit;active;base_price
1;league drat cheerful;gadzooks ouch;explode courageously apropos;more worth while;11515;descriptive next;true;20749.73
2;till;pneumonia;out heavy;hmph quietly;32503;lieu cheese shyly;true;12478.85
3;an angle;yet awkwardly;perfection focalise which;arrange;17213;precedent if;false;18302.69
4;upon commandeer pretend;gestate unaccountably certainly;to lounge;in gladly;3752;trusty;false;7207.54
5;or ostrich;motor;polyester;prestigious engage despite;27015;though cycle;false;13368.71
6;geez hence;fort hasty;draw disarm;fooey into;625;reasoning;true;21891.6
7;er exalt ornate;gnaw buzzing boastfully;palate;buck merry very;21147;pace now shudder;true;16498.27
8;disclosure;minus blah emulsify;truly concerning;grave sesame huzzah;31074;yuck;false;6280.87
9;speedily scale;lest who owlishly;artistic pleased;modulo;6877;manner aboard;true;10207.51
10;confiscate similar oxidise;whereas favorite;order formal emergent;elevation ick what;2871;avalanche miserably;false;13985.6
11;incidentally mortise hence;tragic formal;willfully woot;mantua;9419;brr worth yahoo;true;30034.72
12;while;gray whether;kiddingly an;yowza bobble pearl;14177;with shrilly;false;6415.57
13;incidentally;metal below;ick and bleak;despite deceivingly;1843;event;true;32756.67
14;intermarry;crazy meanwhile uh-huh;for;despite;11832;besides exasperation;false;26684.15
15;sharply fully;after hm clueless;metabolite uh-huh;psst supposing;556;linear tightly heavy;false;9331.97
16;configuration;metal victoriously;jam-packed;sorrowful up;21176;gladly;false;23740.82
17;absent;ew quizzically nucleotidase;own modulo;beneath wearily;9286;runny before bench;false;6193.13
18;sudden boo under;that;pish offensively um;draft hourly including;29284;phooey bah snarling;true;17478.1
19;but vein;upon supposing;politely and plugin;giant before ignorant;11956;brr;true;31306.93
20;rectangular;happy;freely lace;sauerkraut times;10809;lest;false;2684.47
21;dependency worst;zesty;eke;showy except oddly;12942;woot excluding;true;23092.42
22;as;flight noisily;apropos;following amongst though;17529;boldly because outside;false;18950.71
23;though consequently graft;satirise aw version;viciously sweetly;about meaningfully;23431;below;true;19321.49
24;circa;finally list;spice frequent perfectly;oh;15147;to worthwhile;false;29347.26
25;receptor sunbeam cope;feline happily willfully;zebra;zowie;29826;unless our;true;12257.74
26;woot who inborn;simple which;mid er scrap;oh;749;absent;false;2143.93
27;magnetize;huzzah steel;devoted submissive;gah;22347;joyously expatiate;false;7554.8
28;modulo meanwhile broken;dislocate if;woot after;considering than nimble;24388;underneath silently;false;26637.06
29;anenst;expansion;uh-huh;octave pfft;18402;quarrelsomely;false;15035.87
30;among out;verify tentacle attraction;abaft near;yieldingly yum;20584;mathematics glossy boastfully;false;18830.26
